Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;Total Nacional;Tasa de actividad;2023T4;58,99
Ambos sexos;Total Nacional;Tasa de actividad;2023T3;59,41
Ambos sexos;Total Nacional;Tasa de actividad;2023T2;58,97
Ambos sexos;Total Nacional;Tasa de actividad;2023T1;58,55
Ambos sexos;Total Nacional;Tasa de actividad;2022T4;58,52
Ambos sexos;Total Nacional;Tasa de actividad;2022T3;58,86
Ambos sexos;Total Nacional;Tasa de actividad;2022T2;58,71
Ambos sexos;Total Nacional;Tasa de actividad;2022T1;58,50
Ambos sexos;Total Nacional;Tasa de actividad;2021T4;58,65
Ambos sexos;Total Nacional;Tasa de actividad;2021T3;59,14
Ambos sexos;Total Nacional;Tasa de actividad;2021T2;58,58
Ambos sexos;Total Nacional;Tasa de actividad;2021T1;57,69
Ambos sexos;Total Nacional;Tasa de paro de la población;2023T4;11,76
Ambos sexos;Total Nacional;Tasa de paro de la población;2023T3;11,84
Ambos sexos;Total Nacional;Tasa de paro de la población;2023T2;11,60
Ambos sexos;Total Nacional;Tasa de paro de la población;2023T1;13,26
Ambos sexos;Total Nacional;Tasa de paro de la población;2022T4;12,87
Ambos sexos;Total Nacional;Tasa de paro de la población;2022T3;12,67
Ambos sexos;Total Nacional;Tasa de paro de la población;2022T2;12,48
Ambos sexos;Total Nacional;Tasa de paro de la población;2022T1;13,65
Ambos sexos;Total Nacional;Tasa de paro de la población;2021T4;13,33
Ambos sexos;Total Nacional;Tasa de paro de la población;2021T3;14,57
Ambos sexos;Total Nacional;Tasa de paro de la población;2021T2;15,26
Ambos sexos;Total Nacional;Tasa de paro de la población;2021T1;15,98
Ambos sexos;Total Nacional;Tasa de empleo de la población;2023T4;52,05
Ambos sexos;Total Nacional;Tasa de empleo de la población;2023T3;52,38
Ambos sexos;Total Nacional;Tasa de empleo de la población;2023T2;52,13
Ambos sexos;Total Nacional;Tasa de empleo de la población;2023T1;50,78
Ambos sexos;Total Nacional;Tasa de empleo de la población;2022T4;50,99
Ambos sexos;Total Nacional;Tasa de empleo de la población;2022T3;51,40
Ambos sexos;Total Nacional;Tasa de empleo de la población;2022T2;51,38
Ambos sexos;Total Nacional;Tasa de empleo de la población;2022T1;50,51
Ambos sexos;Total Nacional;Tasa de empleo de la población;2021T4;50,83
Ambos sexos;Total Nacional;Tasa de empleo de la población;2021T3;50,52
Ambos sexos;Total Nacional;Tasa de empleo de la población;2021T2;49,63
Ambos sexos;Total Nacional;Tasa de empleo de la población;2021T1;48,47
Ambos sexos;02 Albacete;Tasa de actividad;2023T4;58,14
Ambos sexos;02 Albacete;Tasa de actividad;2023T3;58,94
Ambos sexos;02 Albacete;Tasa de actividad;2023T2;59,61
Ambos sexos;02 Albacete;Tasa de actividad;2023T1;59,31
Ambos sexos;02 Albacete;Tasa de actividad;2022T4;59,05
Ambos sexos;02 Albacete;Tasa de actividad;2022T3;57,47
Ambos sexos;02 Albacete;Tasa de actividad;2022T2;58,07
Ambos sexos;02 Albacete;Tasa de actividad;2022T1;58,16
Ambos sexos;02 Albacete;Tasa de actividad;2021T4;55,50
Ambos sexos;02 Albacete;Tasa de actividad;2021T3;59,12
Ambos sexos;02 Albacete;Tasa de actividad;2021T2;58,13
Ambos sexos;02 Albacete;Tasa de actividad;2021T1;58,17
Ambos sexos;02 Albacete;Tasa de paro de la población;2023T4;11,96
Ambos sexos;02 Albacete;Tasa de paro de la población;2023T3;9,24
Ambos sexos;02 Albacete;Tasa de paro de la población;2023T2;12,73
Ambos sexos;02 Albacete;Tasa de paro de la población;2023T1;13,61
Ambos sexos;02 Albacete;Tasa de paro de la población;2022T4;11,00
Ambos sexos;02 Albacete;Tasa de paro de la población;2022T3;10,70
